LOWpdb	SD	HYDRO	MW	PI
5CUS_1	1.38680212097533	-0.516666666666667	768	5.81833333333333
1IGT_1	1.84491088858026	-1.08333333333333	794	5.86833333333333
3V6O_1	0.40788888987321	-0.716666666666667	795	5.69
1Y0L_1	1.27837073037633	-0.333333333333333	871	4.80666666666667
1TZG_1	1.04420001922197	-0.516666666666667	768	5.81833333333333
3BSZ_1	0.639698998842815	-1.4	811	5.72
1MJJ_1	0.955794551937286	-1.4	811	5.72
3LEX_1	0.197571291517768	-1.4	811	5.72
1CLY_1	0.154586977396225	-1.08333333333333	794	5.86833333333333
1CT8_1	0.311733681340338	-1.18333333333333	875	5.96
1FL3_1	1.25899725994162	-1.08333333333333	794	5.86833333333333
4QHU_1	0.264848259106985	-0.516666666666667	768	5.81833333333333
4G6F_1	0.713772925269362	-0.75	796	7.35166666666667
2GSG_1	1.71340599784231	0.583333333333333	800	5.93
3NA9_1	1.24298358676385	-0.516666666666667	768	5.81833333333333
3DUS_1	1.18053842136912	-0.95	784	5.765
1TET_1	1.19234466764019	-0.216666666666667	775	5.72666666666667
2WUB_1	0.791807250049109	-0.516666666666667	768	5.81833333333333
3WE6_1	1.01475240369692	-1.4	811	5.72
1MLB_1	0.918754173937188	-1.18333333333333	875	5.96
4M62_1	0.396246376720971	-0.516666666666667	768	5.81833333333333
3WHE_1	0.346696105079499	-0.116666666666667	796	5.81166666666667
4LU5_1	0.0561322576109317	-1.08333333333333	794	5.86833333333333
4IML_1	1.07108646126842	-0.516666666666667	768	5.81833333333333
3RHW_1	0.7971158884836	-1.23333333333333	854	4.75166666666667
1AXS_1	0.545885727969234	-1.4	811	5.72
3KS0_1	0.236852487426248	-1.23333333333333	854	4.75166666666667
3IET_1	0.0826317913426774	0.166666666666667	752	5.78833333333333
4QWW_1	0.110313607612566	-0.516666666666667	768	5.81833333333333
3U46_1	1.3823888259771	-0.366666666666667	766	6.635
1TZH_1	0.352165339981802	-0.516666666666667	768	5.81833333333333
2C1O_1	1.18529088777003	-1.4	811	5.72
4UIM_1	1.34087282764008	-1.23333333333333	853	5.15666666666667
2V17_1	1.56911944492763	-0.95	785	5.36
3RVT_1	1.85539398008288	-1.4	811	5.72
4R7D_1	1.37833833501303	-1.91666666666667	869	5.18666666666667
4UT9_1	0.267819998951254	-0.95	784	5.765
3W11_1	0.834901285203827	-1.4	811	5.72
3G5X_1	1.12117224879342	-1.4	811	5.72
1IGF_1	1.37862196216331	-1.08333333333333	794	5.86833333333333
4QNP_1	0.440161950473343	0.366666666666667	711	5.87666666666667
4KPH_1	1.08698858567052	-1.4	811	5.72
4C83_1	0.397353705940312	-0.516666666666667	768	5.81833333333333
2J4W_1	1.3899746490208	-0.116666666666667	796	5.81166666666667
4AEI_1	0.507837874689357	-1.08333333333333	794	5.86833333333333
4RGM_1	0.162976799354998	-1.03333333333333	826	5.285
2QQK_1	0.999873737335119	-0.516666666666667	768	5.81833333333333
4MHJ_2	0.397157090032291	0.166666666666667	738	5.74833333333333
1YEC_1	0.422832949997593	-1.4	811	5.72
1RZ7_1	0.626416094626693	-0.516666666666667	768	5.81833333333333
1Q9O_1	0.402173375081777	-0.95	784	5.765
5ESV_1	0.211903868729039	-1.48029736616688e-16	780	6.64
3IFO_1	0.238629446767365	-1.4	811	5.72
4QEX_1	0.109995409561032	-0.95	784	5.765
4JY6_1	0.915240126694902	-2.36666666666667	795	6.455
1OAQ_1	1.09603397008021	-1.23333333333333	854	4.75166666666667
3BN9_1	0.620974811276996	-0.516666666666667	768	5.81833333333333
1KCS_1	1.12510234828325	-0.933333333333334	784	5.71166666666667
1KEL_1	1.03993416491646	-0.95	784	5.765
1RZI_1	1.9307782897855	-0.516666666666667	768	5.81833333333333
1L7T_1	0.140000071607123	-0.95	784	5.765
