PDB	SD	Hydrophobic	Hydrophilic	Amphipathic	Glycines
4XHJ_1	0.622077897855651	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1ZA3_1	0.251440100322124	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
2OJZ_1	0.345513700183267	16.6666666666667	50	16.6666666666667	16.6666666666667
3WHE_1	0.346696105079499	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4NKM_1	0.423377532565892	16.6666666666667	50	16.6666666666667	16.6666666666667
1F3D_1	0.504802823982294	16.6666666666667	50	16.6666666666667	16.6666666666667
3FO1_1	0.137380948089608	16.6666666666667	50	16.6666666666667	16.6666666666667
2Z91_1	0.266251127254576	16.6666666666667	50	16.6666666666667	16.6666666666667
2NZ9_1	0.291784077722726	16.6666666666667	50	16.6666666666667	16.6666666666667
3U2S_1	0.249518256914532	33.3333333333333	16.6666666666667	33.3333333333333	16.6666666666667
1CK0_1	0.270932698006967	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
1CZ8_1	0.364284443104558	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
3UBX_1	0.128455139190692	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4NRZ_1	0.0725661263124874	16.6666666666667	50	16.6666666666667	16.6666666666667
3HI5_1	0.749781548143414	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
4YGV_1	0.550081699608793	16.6666666666667	50	16.6666666666667	16.6666666666667
1IGY_1	0.403284917620907	16.6666666666667	83.3333333333333	0	0
4I9W_1	0.620634855621072	16.6666666666667	50	16.6666666666667	16.6666666666667
1N5Y_1	0.778909638520605	16.6666666666667	66.6666666666667	16.6666666666667	0
3NCY_1	0.230825109223413	16.6666666666667	50	16.6666666666667	16.6666666666667
2UYL_1	0.346897762295561	16.6666666666667	50	16.6666666666667	16.6666666666667
3L5X_1	0.642552312932313	16.6666666666667	50	16.6666666666667	16.6666666666667
2BRR_1	0.927760866469373	33.3333333333333	33.3333333333333	16.6666666666667	16.6666666666667
