LOWpdb	SD	HYDRO	MW	PI
2GFB_1	0.46591611079525	-1.05384615384615	1768	5.78769230769231
4LF3_1	0.308894647613872	-0.869230769230769	1636	6.27
1IGY_1	0.403284917620907	-1.51538461538462	1767	6.15923076923077
1BQL_1	0.539655410120198	-1.7	1862	6.73230769230769
4MHH_1	0.723324066596248	-0.361538461538462	1620	6.15692307692308
1S3K_1	0.749006642139665	-0.423076923076923	1695	5.88461538461539
3BN9_1	0.620974811276996	-0.246153846153846	1579	5.90769230769231
4OLU_1	0.195773118973214	-0.815384615384615	1614	5.93923076923077
1UYW_1	0.41023153463928	-0.507692307692308	1625	5.78153846153846
4RGN_1	0.153546323502065	-1.06923076923077	1733	5.79384615384615
1N5Y_1	0.778909638520605	-0.615384615384616	1682	5.62230769230769
3Q6F_1	0.549676890440556	-0.153846153846154	1593	6.17769230769231
2XKN_1	0.0813611204568878	-0.223076923076923	1721	5.43307692307692
1C08_1	0.835087244348158	-0.730769230769231	1768	5.89923076923077
3RKD_1	0.278778262696355	-0.561538461538462	1596	5.85538461538461
1KEN_1	0.264509554958792	-0.576923076923077	1698	5.82230769230769
4EBQ_1	0.354473568110985	-0.692307692307692	1721	6.19307692307692
3UO1_1	0.376667136785582	0.153846153846154	1712	5.68153846153846
2VXT_1	0.470446431669255	-1.03846153846154	1874	6.17923076923077
4XMK_1	0.81305081106759	-0.169230769230769	1655	5.86769230769231
3IYW_1	0.00265160976264292	-0.723076923076923	1712	6.19384615384615
4ODX_1	0.930653640311204	-0.484615384615385	1620	6.22
1JPS_1	0.33614815197308	-1.1	1742	5.94384615384615
2Q76_1	0.393415828275883	-0.938461538461539	1832	6.22923076923077
4NM4_1	0.638231582115535	-0.569230769230769	1622	6.47
1DQJ_1	0.544375821199565	-0.3	1734	6.09384615384615
4NCC_1	0.0560247773801914	-0.646153846153846	1724	5.86846153846154
1D5I_1	0.927919258388356	-1.44615384615385	1766	6.13692307692308
5DO2_1	0.273249394774259	-0.415384615384615	1751	5.40230769230769
1ZVO_1	0.000438406204334135	-0.892307692307692	1714	5.83615384615384
3HNS_1	0.1881338224279	-0.607692307692308	1836	6.21307692307692
2X7L_1	0.290696589646318	-3.41607084500048e-17	1746	5.95153846153846
