SET	SD
Complex	3.29955117512392
Free	1.13651595350908
Complex	0.507837874689357
Complex	1.28885256148043
Free	0.559410861609708
Free	2.7739282837998
Free	0.397353705940312
Complex	0.202570775470986
Complex	0.429393421302659
Free	1.214783936349
Complex	0.724275221862057
Complex	0.832288462054035
Complex	0.44528211067592
Complex	0.232649444718875
Complex	1.54040808118433
Mixed	1.64481027610618
Mixed	0.295318620999422
Mixed	0.354473568110985
Complex	0.432973502935801
Free	0.0901241204204156
Complex	0.0969012061870243
Mixed	0.216028950834603
Complex	2.30942913213158
Free	0.470993921411943
Complex	0.898519879746965
Complex	0.171669263016124
Complex	0.0134555349392011
Mixed	0.40288634462036
Free	4.0669593002267
Mixed	2.12834319104221
Complex	0.243079269741376
Free	0.82457913785185
Free	0.344312919176725
Mixed	2.09637220210582
Complex	0.713772925269362
Mixed	0.193008331458776
Complex	0.35323377832818
Complex	0.24577127991878
Mixed	2.03620236477431
Mixed	1.43551668537917
Mixed	1.30570487013763
Complex	0.308489475428255
Complex	0.266562285944579
Free	1.90590167688472
Free	1.41418527810185
Complex	0.905787267283312
Mixed	3.97285037796748
Free	0.758204338723848
Complex	0.0443044824820222
Complex	0.420004457462064
Free	2.52265506067804
Complex	0.595136031029323
Complex	1.15113307021908
Complex	1.35489932424682
Complex	0.620634855621072
Free	1.60226578240253
Free	1.07108646126842
Complex	1.88601641998419
Free	1.48466331808949
Complex	0.818467613942055
Mixed	5.09396653340665
Free	0.254144783760162
Mixed	0.814346595621299
Complex	0.264025893920466
Mixed	1.66503078235539
Free	0.329901375869367
Mixed	0.339018554518162
Complex	0.306915323990728
Free	0.915240126694902
Complex	0.245250794666399
Complex	0.906791542619543
Mixed	1.05037530364746
Complex	0.256893307818638
Mixed	1.19282832867852
Complex	0.557998337539938
Free	1.08698858567052
Complex	0.955917151389441
Complex	0.308894647613872
Free	0.721779246896168
Free	0.128554841246839
Complex	0.348680010657336
Complex	0.0561322576109317
Complex	0.239238070884074
Complex	1.30800117409141
Mixed	0.585999907647276
Mixed	0.868605616769966
Free	0.179243790856198
Complex	0.396246376720971
Free	0.120888389525217
Free	3.44701853622632
Mixed	0.552338784454344
Mixed	2.01929671669132
Complex	0.723324066596248
Complex	1.47300666280163
Complex	0.397157090032291
Complex	3.63839885071229
Complex	1.17216515445585
Complex	0.631208060614326
Complex	0.700168485983432
Free	0.0560247773801914
Complex	0.00755530081024822
Free	2.16927678644986
Free	0.423377532565892
Free	0.176117219085283
Mixed	0.638231582115535
Complex	0.772963171252354
Complex	2.06950780127498
Complex	0.728962037579459
Free	0.0725661263124874
Free	0.3979496973555
Complex	0.39549663677152
Mixed	1.20607907078848
Free	0.152907598790906
Free	0.981229452835573
Mixed	0.812252779377025
Free	0.940317210321246
Complex	0.930653640311204
Complex	0.310453818066391
Complex	0.00574948523783198
Complex	0.15597007826022
Complex	0.195773118973214
Free	0.643291101291243
Free	0.236938754453551
Mixed	0.433741064730904
Free	0.146439693063389
Complex	1.51282281920649
Mixed	0.656404497420861
Complex	0.0554576777416847
Free	0.275803464467907
Mixed	0.576331864259934
Free	0.691440830449361
Complex	1.42375879681233
Complex	0.333750622815273
Complex	0.540774053048035
Complex	0.109995409561032
Free	1.24931696810717
Free	1.25622257293224
Free	0.259081803306407
Free	0.579630984887798
Free	0.680964982421025
Complex	0.264848259106985
Complex	0.440161950473343
Free	2.5631468233959
Mixed	1.23696946960276
Complex	0.110313607612566
Complex	0.899392536970136
Mixed	2.07915764473861
Complex	3.24538183066099
Complex	3.20868305251454
Free	1.37833833501303
Free	0.988127317950728
Complex	0.52358980592904
Mixed	1.08287498282781
Complex	0.139477041353408
Mixed	1.20224709887438
Complex	0.162976799354998
Complex	0.153546323502065
Complex	0.0554795980518963
Mixed	1.25847282117904
Free	1.95483999616337
Free	0.269325659245458
Mixed	3.89171773375202
Mixed	2.59057174075226
Complex	0.0436044467686514
Complex	0.664500769192933
Complex	0.183231165995306
Complex	0.0353383684965795
Free	4.61721071375209
Free	0.182333847489984
Free	1.34087282764008
Complex	0.000674579869252052
Complex	0.267819998951254
Complex	0.344848906116868
Complex	0.904611604666886
Complex	1.30819025154001
Complex	0.000257386868355222
Complex	0.400939444427709
Complex	0.622077897855651
Mixed	0.81305081106759
Complex	1.2355492114987
Complex	1.29946161579828
Complex	1.57984696190502
Complex	1.52167946282037
Complex	0.383841602458618
Complex	0.60163042836418
Complex	0.248705718399276
Free	1.66696534577432
Complex	1.46427813669467
Complex	0.162190496614319
Free	0.550081699608793
Complex	0.436404385038123
Complex	0.00878085200877725
Mixed	1.19339642848109
Complex	0.838621536834789
Complex	2.93905375128345
Complex	2.52094669069469
Complex	0.777547826101337
Complex	0.422140627048022
Mixed	0.3083943165208
Mixed	0.545213362083981
Complex	0.880399561372277
Mixed	1.19040083109871
Complex	0.00190421066323934
Complex	0.836812085166376
Mixed	2.22708490598051
Free	1.73183249345325
Free	0.104505432511898
Free	0.628700371785256
Complex	0.646648444288316
Complex	1.38680212097533
